taxon	method	n_significant	n_tested	replication_score	direction_consistent	mean_effect
d__denovo5886	hurdle	1	4	0.25	True	-12.078959
d__denovo15132	hurdle	1	4	0.25	True	4.666103
d__denovo13554	hurdle	1	4	0.25	True	-3.537066
d__denovo11124	hurdle	1	4	0.25	True	-15.414189
d__denovo13776	hurdle	1	4	0.25	True	-14.410742
d__denovo597	hurdle	1	4	0.25	True	8332452065.179396
d__denovo9112	hurdle	1	4	0.25	False	
d__denovo1019	hurdle	1	4	0.25	False	-1.9843095
d__denovo1595	hurdle	1	4	0.25	True	-2.677231
d__denovo1616	hurdle	1	4	0.25	False	1.330301
d__denovo20019	hurdle	1	4	0.25	True	-7.467
d__denovo12110	hurdle	1	4	0.25	False	
d__denovo5405	hurdle	1	4	0.25	True	3.372589
d__denovo20779	hurdle	1	4	0.25	True	-5.509958
d__denovo685	hurdle	1	4	0.25	True	8.1758355
d__denovo3798	hurdle	1	4	0.25	True	2.787121
d__denovo10143	hurdle	1	4	0.25	True	7.504114
d__denovo20860	hurdle	1	4	0.25	True	2.189044
d__denovo17088	hurdle	1	4	0.25	True	12.628352
d__denovo14994	hurdle	1	4	0.25	True	21.862455
d__denovo4284	hurdle	1	4	0.25	False	2.943224
d__denovo13512	hurdle	1	4	0.25	True	2.756082
d__denovo20878	hurdle	1	4	0.25	True	-4.259957
d__denovo7869	hurdle	1	4	0.25	True	4.730321
d__denovo7720	hurdle	1	4	0.25	True	-1.861616
d__denovo16642	hurdle	1	4	0.25	True	-12.360437
d__denovo20285	hurdle	1	4	0.25	True	-8.454465
d__denovo8439	hurdle	1	4	0.25	True	-4.956505
d__denovo11649	hurdle	1	4	0.25	True	-5.106661
d__denovo6736	hurdle	1	4	0.25	True	-2.913725
d__denovo20202	hurdle	1	4	0.25	True	2181.093449
d__denovo14619	hurdle	1	4	0.25	True	5.379694
d__denovo7038	hurdle	1	4	0.25	True	4.354578500000001
d__denovo16130	hurdle	1	4	0.25	True	-13.166598
d__denovo18930	hurdle	1	4	0.25	True	-10.412694
d__denovo17211	hurdle	1	4	0.25	True	2.650417
d__denovo3507	hurdle	1	4	0.25	False	-0.696016
d__denovo11153	hurdle	1	4	0.25	True	-9.562156
d__denovo19316	hurdle	1	4	0.25	True	4.82525
d__denovo2794	hurdle	1	4	0.25	True	1.591177
d__denovo2072	hurdle	1	4	0.25	True	1.841404
d__denovo8892	hurdle	1	4	0.25	True	-2.892685
d__denovo10260	hurdle	1	4	0.25	True	-5.249881
d__denovo12000	hurdle	1	4	0.25	True	-107624915.836573
d__denovo8205	hurdle	1	4	0.25	True	-13.501457
d__denovo9041	hurdle	1	4	0.25	False	2.227269
d__denovo8546	hurdle	1	4	0.25	True	-2.6314535
d__denovo508	hurdle	1	4	0.25	True	1.637148
d__denovo27095	hurdle	1	4	0.25	True	2.488309
d__denovo3768	hurdle	1	4	0.25	True	-3.1939789999999997
d__denovo23327	hurdle	1	4	0.25	True	-3.533295
d__denovo8525	hurdle	1	4	0.25	True	10000000113.54934
d__denovo3520	hurdle	1	4	0.25	True	9.5155405
d__denovo18615	hurdle	1	4	0.25	True	6.872443
d__denovo15423	hurdle	1	4	0.25	True	-12.417738
d__denovo13966	hurdle	1	4	0.25	True	3.873838
d__denovo10301	hurdle	1	4	0.25	True	-11.019841
d__denovo22366	hurdle	1	4	0.25	True	2.198612
d__denovo557	hurdle	1	4	0.25	True	5.112093
d__denovo21232	hurdle	1	4	0.25	True	-15.703475
d__denovo4679	hurdle	1	4	0.25	False	-0.6023755000000001
d__denovo15306	hurdle	1	4	0.25	True	-19.130187
d__denovo9173	hurdle	1	4	0.25	False	
d__denovo12771	hurdle	1	4	0.25	True	-3.175573
d__denovo4121	hurdle	2	4	0.5	False	1.9142694999999996
d__denovo5975	hurdle	1	4	0.25	False	-4.652733499999999
d__denovo4231	hurdle	2	4	0.5	False	0.9776225000000001
d__denovo24439	hurdle	1	4	0.25	True	20.927205
d__denovo7052	hurdle	1	4	0.25	True	-1.820963
d__denovo3581	hurdle	1	4	0.25	True	-5.57048
d__denovo4938	hurdle	1	4	0.25	True	-21.332122
d__denovo10127	hurdle	1	4	0.25	True	-8.896994
d__denovo5166	hurdle	1	4	0.25	True	7.17011
d__denovo5908	hurdle	1	4	0.25	True	9.277667
d__denovo22025	hurdle	1	4	0.25	True	10.171639
d__denovo11993	hurdle	1	4	0.25	True	-11.948932
d__denovo18153	hurdle	1	4	0.25	True	-10.295793
d__denovo14611	hurdle	1	4	0.25	True	-1.528779
d__denovo20249	hurdle	1	4	0.25	True	2.273363
d__denovo5895	hurdle	1	4	0.25	True	-22.231424
d__denovo28285	hurdle	1	4	0.25	True	8.468243
d__denovo21416	hurdle	1	4	0.25	True	259248.157001
d__denovo6719	hurdle	1	4	0.25	True	-1.4786730000000001
d__denovo199	hurdle	1	4	0.25	False	-0.583832
d__denovo12124	hurdle	1	4	0.25	True	1.949569
d__denovo10281	hurdle	1	4	0.25	True	-1.849587
d__denovo5647	hurdle	1	4	0.25	True	-3.5149505
d__denovo8166	hurdle	1	4	0.25	True	2.376953
d__denovo5103	hurdle	1	4	0.25	False	3.304172
d__denovo13190	hurdle	1	4	0.25	True	2.342071
d__denovo8475	hurdle	1	4	0.25	True	4.3383525
d__denovo16003	hurdle	1	4	0.25	True	2.249005
d__denovo18484	hurdle	1	4	0.25	True	2.818553
d__denovo17163	hurdle	1	4	0.25	True	-4.676153
d__denovo15960	hurdle	1	4	0.25	True	-7.252846
d__denovo9815	hurdle	1	4	0.25	True	-8328253334.579117
d__denovo7393	hurdle	1	4	0.25	True	7.652067
d__denovo7034	hurdle	1	4	0.25	True	-16.135351
d__denovo990	hurdle	1	4	0.25	True	-3.876459
d__denovo572	hurdle	1	4	0.25	False	-1.1118165
d__denovo50	hurdle	2	4	0.5	False	-1.0642346666666667
d__denovo3801	hurdle	2	4	0.5	False	4.551708
d__denovo16811	hurdle	1	4	0.25	True	-6.429697
d__denovo22719	hurdle	1	4	0.25	True	5.188577
d__denovo24853	hurdle	1	4	0.25	True	7.074356
d__denovo25946	hurdle	1	4	0.25	True	38.314157
d__denovo11675	hurdle	1	4	0.25	True	1.882833
d__denovo21555	hurdle	1	4	0.25	True	16.445534
d__denovo29796	hurdle	1	4	0.25	True	9999680811.95734
d__denovo6147	hurdle	1	4	0.25	True	30.222869
d__denovo7800	hurdle	1	4	0.25	True	2.4581965
d__denovo27972	hurdle	1	4	0.25	True	17740.963479
d__denovo17901	hurdle	1	4	0.25	True	-11.68016
d__denovo8875	hurdle	1	4	0.25	True	-4.588781
d__denovo15924	hurdle	1	4	0.25	True	13.738027
d__denovo13242	hurdle	1	4	0.25	True	2.426715
d__denovo1335	hurdle	1	4	0.25	True	-2.2517735
d__denovo19805	hurdle	1	4	0.25	True	4.485643
d__denovo11508	hurdle	1	4	0.25	True	14.188682
d__denovo5660	hurdle	1	4	0.25	True	-1.733149
d__denovo17113	hurdle	1	4	0.25	True	-5.643396
d__denovo18071	hurdle	1	4	0.25	True	-5.906157
d__denovo7581	hurdle	1	4	0.25	True	-7.597045
d__denovo4072	hurdle	1	4	0.25	True	-3.757477
d__denovo17340	hurdle	1	4	0.25	True	3.79803
d__denovo9211	hurdle	1	4	0.25	False	
d__denovo14096	hurdle	1	4	0.25	True	-3.29457
d__denovo19486	hurdle	1	4	0.25	True	2.436852
d__denovo573	hurdle	1	4	0.25	False	1.1767500000000002
d__denovo8487	hurdle	1	4	0.25	True	-2.050529
d__denovo1115	hurdle	1	4	0.25	True	1.261001
d__denovo22229	hurdle	1	4	0.25	True	-13.971431
d__denovo17676	hurdle	1	4	0.25	True	-3.15416
d__denovo20304	hurdle	1	4	0.25	True	5.310014
d__denovo611	hurdle	1	4	0.25	True	-2.558509
d__denovo6980	hurdle	1	4	0.25	True	-10.61085
d__denovo13005	hurdle	1	4	0.25	True	-3.127112
d__denovo6060	hurdle	1	4	0.25	False	-2.6885625
d__denovo4157	hurdle	1	4	0.25	True	-5.551449
d__denovo7139	hurdle	1	4	0.25	True	1.6459475
d__denovo21721	hurdle	1	4	0.25	True	1.544471
d__denovo20457	hurdle	1	4	0.25	True	1.880084
d__denovo12238	hurdle	1	4	0.25	True	2.420202
d__denovo10177	hurdle	1	4	0.25	False	
d__denovo13256	hurdle	1	4	0.25	True	1.857619
d__denovo984	hurdle	1	4	0.25	True	3.51166
d__denovo7002	hurdle	1	4	0.25	False	-1.4505335000000001
d__denovo21515	hurdle	1	4	0.25	True	9.844485
d__denovo118	hurdle	1	4	0.25	False	0.97545725
d__denovo6303	hurdle	1	4	0.25	True	-7.662907
d__denovo23827	hurdle	1	4	0.25	True	-8.326775
d__denovo21324	hurdle	1	4	0.25	True	-5.40064
d__denovo18079	hurdle	1	4	0.25	True	-15.061893
d__denovo8642	hurdle	1	4	0.25	True	4.459734
d__denovo916	hurdle	1	4	0.25	True	-1.8023179999999999
d__denovo27510	hurdle	1	4	0.25	True	3.090591
d__denovo10306	hurdle	1	4	0.25	True	3.567007
d__denovo11619	hurdle	1	4	0.25	True	6.924963
d__denovo15997	hurdle	1	4	0.25	True	4.589375
d__denovo14340	hurdle	1	4	0.25	True	1.769032
d__denovo19304	hurdle	1	4	0.25	True	-19.785689
d__denovo16524	hurdle	1	4	0.25	True	6.003461
d__denovo18527	hurdle	1	4	0.25	True	5.395742
d__denovo13191	hurdle	1	4	0.25	True	1.72564
d__denovo20561	hurdle	1	4	0.25	True	1.956404
d__denovo11612	hurdle	1	4	0.25	False	-6.9392605000000005
d__denovo2268	hurdle	1	4	0.25	False	2.4929449999999997
d__denovo17428	hurdle	1	4	0.25	True	-4.621956
d__denovo13802	hurdle	1	4	0.25	True	3.081492
d__denovo11359	hurdle	1	4	0.25	True	-3.887707
d__denovo7879	hurdle	1	4	0.25	False	-0.8948565
d__denovo24337	hurdle	1	4	0.25	True	11.810416
d__denovo9562	hurdle	1	4	0.25	True	1.77056
d__denovo9296	hurdle	1	4	0.25	True	-5.581283
d__denovo9293	hurdle	1	4	0.25	True	-4.942586
d__denovo3391	hurdle	1	4	0.25	False	-5.1265685
d__denovo3320	hurdle	1	4	0.25	False	9.188926499999999
d__denovo7935	hurdle	1	4	0.25	True	-1.7165905
d__denovo17373	hurdle	1	4	0.25	True	5.032835
d__denovo21414	hurdle	1	4	0.25	True	2.42343
d__denovo13150	hurdle	1	4	0.25	True	7.152687
d__denovo4047	hurdle	2	4	0.5	False	2.2373045
d__denovo19711	hurdle	1	4	0.25	True	6.824443
d__denovo3478	hurdle	1	4	0.25	False	3.3330085
d__denovo20109	hurdle	1	4	0.25	True	29.191135
d__denovo21081	hurdle	1	4	0.25	True	3.265601
d__denovo2060	hurdle	2	4	0.5	False	0.7511410000000001
d__denovo11959	hurdle	1	4	0.25	True	1.712316
d__denovo7084	hurdle	1	4	0.25	True	-2.620158
d__denovo9395	hurdle	1	4	0.25	True	-3.045343
d__denovo5458	hurdle	1	4	0.25	True	-2.098818
d__denovo13701	hurdle	1	4	0.25	True	2.020034
d__denovo5204	hurdle	1	4	0.25	True	-5.573201
d__denovo13963	hurdle	1	4	0.25	True	1.450555
d__denovo4255	hurdle	1	4	0.25	False	3.181691
d__denovo5350	hurdle	1	4	0.25	True	-5.449523
d__denovo9929	hurdle	1	4	0.25	True	-9.262266
d__denovo6213	hurdle	1	4	0.25	True	-20.806904
d__denovo19920	hurdle	1	4	0.25	True	13.609985
d__denovo17522	hurdle	1	4	0.25	True	1.956404
d__denovo2791	hurdle	1	4	0.25	False	0.8445149999999999
d__denovo4370	hurdle	1	4	0.25	True	11.385798
d__denovo5226	hurdle	1	4	0.25	True	7.756839
d__denovo17247	hurdle	1	4	0.25	True	13.530631
d__denovo238	hurdle	1	4	0.25	True	-1.197244
d__denovo26587	hurdle	1	4	0.25	True	-4.061408
d__denovo7624	hurdle	1	4	0.25	True	-3.113317
d__denovo9814	hurdle	1	4	0.25	True	-5.439222
d__denovo8449	hurdle	1	4	0.25	False	8.6523345
d__denovo6632	hurdle	1	4	0.25	True	-1.3491339999999998
d__denovo15778	hurdle	1	4	0.25	True	12.519088
d__denovo9641	hurdle	2	4	0.5	False	2857142888.9907646
d__denovo90	hurdle	1	4	0.25	False	0.5766353333333333
d__denovo22826	hurdle	1	4	0.25	True	10.433368
d__denovo3123	hurdle	1	4	0.25	False	0.862226
d__denovo14591	hurdle	1	4	0.25	True	1.335218
d__denovo17065	hurdle	1	4	0.25	True	-14.622259
d__denovo13186	hurdle	1	4	0.25	True	-6.271366
d__denovo1183	hurdle	1	4	0.25	True	-0.689862
d__denovo14683	hurdle	1	4	0.25	True	2258940570.021365
d__denovo411	hurdle	1	4	0.25	False	
d__denovo4055	hurdle	1	4	0.25	True	4.908415
d__denovo18942	hurdle	1	4	0.25	True	5.858063
d__denovo19070	hurdle	1	4	0.25	True	1.418195
d__denovo3287	hurdle	1	4	0.25	True	-8.096678
d__denovo9391	hurdle	1	4	0.25	False	-9.364633
d__denovo97	hurdle	1	4	0.25	False	-2.810136
d__denovo7224	hurdle	1	4	0.25	True	-4.4622235
d__denovo16746	hurdle	1	4	0.25	True	-18.300572
d__denovo288	hurdle	1	4	0.25	False	1.9133375
d__denovo12634	hurdle	1	4	0.25	True	4.828266
d__denovo17397	hurdle	1	4	0.25	True	3.422216
d__denovo975	hurdle	1	4	0.25	True	2.908165
d__denovo16987	hurdle	1	4	0.25	True	-5.225483
d__denovo8493	hurdle	2	4	0.5	True	-10.100158
d__denovo17671	hurdle	1	4	0.25	True	9.504098
d__denovo20337	hurdle	1	4	0.25	True	12.39314
d__denovo6471	hurdle	1	4	0.25	True	-2.364621
d__denovo937	hurdle	1	4	0.25	True	2.184931
d__denovo4964	hurdle	1	4	0.25	False	-0.7429865
d__denovo11909	hurdle	1	4	0.25	True	-8.912277
d__denovo7491	hurdle	1	4	0.25	True	5.8059375
d__denovo1720	hurdle	1	4	0.25	True	-2.684268
d__denovo17804	hurdle	1	4	0.25	True	-1.507106
d__denovo4627	hurdle	1	4	0.25	False	4.884089
d__denovo11763	hurdle	1	4	0.25	True	-8.110019
d__denovo297	hurdle	1	4	0.25	True	-1.879181
d__denovo19073	hurdle	1	4	0.25	True	2.509129
d__denovo2785	hurdle	1	4	0.25	True	-3.915953
d__denovo5971	hurdle	1	4	0.25	True	1.857097
